Tamanho,Tempo,Algoritmo
181,0.000491686998429941,Divisão e Conquista
181,0.001952631999301957,Força Bruta
181,0.000489017998916097,Divisão e Conquista
181,0.0019383129983907565,Força Bruta
181,0.0005288290012686048,Divisão e Conquista
181,0.0016943070004344918,Força Bruta
181,0.0005064289980509784,Divisão e Conquista
181,0.0016874319990165532,Força Bruta
181,0.00047540599916828796,Divisão e Conquista
181,0.00168537900026422,Força Bruta
181,0.0004957749988534488,Divisão e Conquista
181,0.001689074000751134,Força Bruta
181,0.0005185430018173065,Divisão e Conquista
181,0.0016881380033737514,Força Bruta
181,0.0005202749998716172,Divisão e Conquista
190,0.0037883049990341533,Força Bruta
190,0.000514752999151824,Divisão e Conquista
190,0.0018711990014708135,Força Bruta
190,0.0005901550030102953,Divisão e Conquista
190,0.0018668400007300079,Força Bruta
190,0.0005059459981566761,Divisão e Conquista
190,0.0018642599970917217,Força Bruta
190,0.0004895839992968831,Divisão e Conquista
190,0.0018629910009622108,Força Bruta
190,0.0005156360020919237,Divisão e Conquista
190,0.001854865997302113,Força Bruta
190,0.00047517300117760897,Divisão e Conquista
190,0.004006696999567794,Força Bruta
190,0.0005517979989235755,Divisão e Conquista
190,0.0018743700020422693,Força Bruta
190,0.000501636000990402,Divisão e Conquista
190,0.001858559000538662,Força Bruta
190,0.0005293050016916823,Divisão e Conquista
190,0.0018742139982350636,Força Bruta
190,0.0005017910007154569,Divisão e Conquista
190,0.0019020799991267268,Força Bruta
190,0.0005111889986437745,Divisão e Conquista
190,0.0018718299979809672,Força Bruta
190,0.0007270460009749513,Divisão e Conquista
190,0.003005548998771701,Força Bruta
190,0.0005287989988573827,Divisão e Conquista
199,0.0020434290017874446,Força Bruta
199,0.000534849998075515,Divisão e Conquista
199,0.0020467140020627994,Força Bruta
199,0.0005629590013995767,Divisão e Conquista
199,0.0020381469985295553,Força Bruta
199,0.0005130989993631374,Divisão e Conquista
199,0.0020388270022522192,Força Bruta
199,0.000516965999850072,Divisão e Conquista
199,0.0022776540026825387,Força Bruta
199,0.0005386669981817249,Divisão e Conquista
199,0.002258341002743691,Força Bruta
199,0.0005590280015894677,Divisão e Conquista
199,0.002066247001494048,Força Bruta
199,0.0005513329997484107,Divisão e Conquista
199,0.0020470269992074464,Força Bruta
199,0.0005458380001073238,Divisão e Conquista
199,0.0020405489995027892,Força Bruta
199,0.000507545999425929,Divisão e Conquista
199,0.002049484999588458,Força Bruta
199,0.0005430189994513057,Divisão e Conquista
199,0.0021700029974454083,Força Bruta
199,0.0016727460024412721,Divisão e Conquista
199,0.002211304999946151,Força Bruta
199,0.0005294100010360125,Divisão e Conquista
199,0.0020466420028242283,Força Bruta
199,0.0005565720020968001,Divisão e Conquista
208,0.0022196620011527557,Força Bruta
208,0.0005748570001742337,Divisão e Conquista
208,0.002228000998002244,Força Bruta
208,0.0006005590003042016,Divisão e Conquista
208,0.0023072520016285125,Força Bruta
208,0.0007081369985826313,Divisão e Conquista
208,0.0022405660020012874,Força Bruta
208,0.000839427000755677,Divisão e Conquista
208,0.0022386540003935806,Força Bruta
208,0.0005720839981222525,Divisão e Conquista
208,0.0022336330002872273,Força Bruta
208,0.0005814049982291181,Divisão e Conquista
208,0.0022223449996090494,Força Bruta
208,0.0005547000000660773,Divisão e Conquista
208,0.002224427997134626,Força Bruta
208,0.0005708960015908815,Divisão e Conquista
208,0.002408025997283403,Força Bruta
208,0.0007877690004534088,Divisão e Conquista
208,0.0024402460003329907,Força Bruta
208,0.0005820469996251632,Divisão e Conquista
208,0.002233912000519922,Força Bruta
208,0.0006117080010881182,Divisão e Conquista
208,0.0022342049996950664,Força Bruta
208,0.0005879399977857247,Divisão e Conquista
208,0.0022442550034611486,Força Bruta
208,0.0005965950003883336,Divisão e Conquista
217,0.003954651998355985,Força Bruta
217,0.001097411000955617,Divisão e Conquista
217,0.0027389630013203714,Força Bruta
217,0.0006898850006109569,Divisão e Conquista
217,0.002446554000925971,Força Bruta
217,0.0006657320009253453,Divisão e Conquista
217,0.002437533999909647,Força Bruta
217,0.0006029709984431975,Divisão e Conquista
217,0.0025111340000876226,Força Bruta
217,0.0016145910012710374,Divisão e Conquista
217,0.00310319799973513,Força Bruta
217,0.001183887001388939,Divisão e Conquista
217,0.002464061999489786,Força Bruta
217,0.0006451810004364233,Divisão e Conquista
217,0.0036049689988431055,Força Bruta
217,0.0006675900003756396,Divisão e Conquista
217,0.0024455919992760755,Força Bruta
217,0.0009073669971257914,Divisão e Conquista
217,0.00275675399825559,Força Bruta
217,0.0008841759990900755,Divisão e Conquista
217,0.0035465079999994487,Força Bruta
217,0.0006549159988935571,Divisão e Conquista
217,0.0025385480003023986,Força Bruta
217,0.0006515770000987686,Divisão e Conquista
217,0.0024196140002459288,Força Bruta
217,0.0006515089989989065,Divisão e Conquista
226,0.004869642998528434,Força Bruta
226,0.0007156079991545994,Divisão e Conquista
226,0.002625433000503108,Força Bruta
226,0.000685727998643415,Divisão e Conquista
226,0.0027386519977881107,Força Bruta
226,0.0006383350009855349,Divisão e Conquista
226,0.002630166000017198,Força Bruta
226,0.000726415997633012,Divisão e Conquista
226,0.002888799997890601,Força Bruta
226,0.0007205549991340376,Divisão e Conquista
226,0.0028903349993925076,Força Bruta
226,0.0006613029981963336,Divisão e Conquista
226,0.0026726870019047055,Força Bruta
226,0.0006576680025318637,Divisão e Conquista
226,0.002760791998298373,Força Bruta
226,0.000704680998751428,Divisão e Conquista
226,0.002647887999046361,Força Bruta
226,0.0008001620008144528,Divisão e Conquista
226,0.0028240270003152546,Força Bruta
226,0.0006734429989592172,Divisão e Conquista
226,0.002713693000259809,Força Bruta
226,0.0006506130011985078,Divisão e Conquista
226,0.00263226599781774,Força Bruta
226,0.0007036300012259744,Divisão e Conquista
226,0.0026383789991086815,Força Bruta
226,0.0006741260003764182,Divisão e Conquista
235,0.0031795390023034997,Força Bruta
235,0.0007766079979774076,Divisão e Conquista
235,0.00311222999880556,Força Bruta
235,0.0007588519983983133,Divisão e Conquista
235,0.0028444049967220053,Força Bruta
235,0.0007690560014452785,Divisão e Conquista
235,0.002860649001377169,Força Bruta
235,0.0007254729971464258,Divisão e Conquista
235,0.0029127969974069856,Força Bruta
235,0.0018663860028027557,Divisão e Conquista
235,0.0029827299986209255,Força Bruta
235,0.0007262609979079571,Divisão e Conquista
235,0.0028459489985834807,Força Bruta
235,0.0007008139982644934,Divisão e Conquista
235,0.002835450999555178,Força Bruta
235,0.0007138820001273416,Divisão e Conquista
235,0.0028492429992184043,Força Bruta
235,0.0008635999984107912,Divisão e Conquista
235,0.003579471998818917,Força Bruta
235,0.000740704002964776,Divisão e Conquista
235,0.002857412000594195,Força Bruta
235,0.0007271159993251786,Divisão e Conquista
235,0.0028544919987325557,Força Bruta
235,0.0007429090001096483,Divisão e Conquista
235,0.0028365049984131474,Força Bruta
235,0.0007092320010997355,Divisão e Conquista
